n,m,kruskal_time,prim_time,true_time
10,9,0,0,0
10,18,0,0,0
10,27,0,0,0
10,36,0,0,0
10,45,0,0,0
10,54,0,0,0
100,99,0,0,0
100,1089,0,0,1.8
100,2079,0,0,4
100,3069,0,0,6
100,4059,0.6,0.4,8.6
100,5049,1,0.4,10.6
200,199,0,0,0
200,4179,0.8,0.6,12.2
200,8159,2,1.2,24.2
200,12139,3,2,35.6
200,16119,4.2,2.6,46.8
200,20099,5.2,3,59.2
500,499,0,0,1
500,25449,7,5,136.4
500,50399,15.8,10.4,332.8
500,75349,33.8,19.4,662.4
500,100299,97,86.2,2667
500,125249,91.4,41,2932.8
1000,999,0,0,5
1000,100899,62.6,44,2117
1000,200799,157.4,93.2,5477
1000,300699,301.4,171.4,9846
1000,400599,270,165.8,9848.8
1000,500499,404.4,145.8,8604
2000,1999,0.2,1.2,29.4
2000,401799,274.6,151,14010
2000,801599,270,133.6,14302
2000,1201399,464.8,241.2,23983.8
2000,1601199,630,289.6,30278.6
2000,2000999,902.4,327.8,39102.6
3000,2999,0,1.4,38.8
3000,902699,321.2,165.8,23828.2
3000,1802399,708.8,318.2,52376.8
3000,2702099,1048.2,514.8,77625.4
3000,3601799,1415.2,593.8,96099.8
3000,4501499,1753.4,837.4,124858
