n,m,kruskal_time,prim_time,true_time
10,9,0,0,0
10,15,0,0,0
10,21,0,0,0
10,27,0,0,0
10,33,0,0,0
10,39,0,0,0
10,45,0,0,0
10,51,0,0,0
100,707,0,0,1.6
100,1414,0,0,3.45
100,2121,0.2,0,5.55
100,2828,0.5,0.15,6.85
100,3535,0.95,0.1,8.9
100,4242,1.2,0.6,12.15
100,4949,0.95,0.35,9.65
200,2843,0.1,0.05,6.85
200,5686,0.95,0.5,14.3
200,8529,1.6,1,21.75
200,11372,2.25,1.4,29.65
200,14215,3,2,37.75
200,17058,4,2.2,45.2
200,19901,4.8,2.75,53.65
500,17821,4.05,3.15,84.7
500,35642,8.95,5.75,174.9
500,53463,14.05,8.35,262.8
500,71284,19.15,11.05,359.35
500,89105,24.3,13.65,447.7
500,106926,29.85,16.5,547.15
500,124747,35.25,19.1,636.9
1000,71357,19.35,12.85,626.75
1000,142714,40.85,23.4,1273.9
1000,214071,63.1,34.25,1935.75
1000,285428,86.6,46.2,2659.95
1000,356785,115.35,59.55,3465.5
1000,428142,139.35,70.15,4206.9
1000,499499,164.05,81.1,4907.9
2000,285571,90.9,52.65,5099.8
2000,571142,188.95,96.9,10296.2
2000,856713,289.25,140.8,15551.2
2000,1142284,383.5,182.35,20617.2
2000,1427855,494.35,229.45,26186.3
2000,1713426,605.8,275.85,31452.6
2000,1998997,729,317.35,36872.8
3000,642643,212.85,115.4,16734.7
3000,1285286,448.4,215.65,34051
3000,1927929,682.15,314.35,51099.6
3000,2570572,927.5,414.4,68317.7
3000,3213215,1168.8,525.75,85659.8
3000,3855858,1424.35,621.5,102732
3000,4498501,1701.4,710.25,120501
